id,year,majortopic,subtopic,title,summary
241,1996,9,900,"A Futile Rush In Desperation For Green Card","lots of immigrants try to get green cards after a false rumor"
242,1996,19,1906,"Big Spending Pledges by Yeltsin Are Worrying Foreign Creditors","yeltsin promising to spend a lot of money"
243,1996,6,602,"Lure of the Education Market Remains Strong for Business","privatization of public schools still happening"
244,1996,12,1207,"Albany Set to Relax Secrecy In Instances of Child Abuse","child abuse secrecy laws in NY"
245,1996,20,2012,"Oregon's Mail-In Election Brings Cheer to Democrats","oregon election results"
246,1996,19,1921,"Blast Kills 60 In Sri Lanka; 1,400 Injured ","tamil tigers attack in sri lanka"
247,1996,19,1921,"Moscow Journal; Stalin's Music Man Is a Kremlin Star Again","composer for stalin is still relevant"
248,1996,1,101,"FEDERAL RESERVE TRIMS KEY RATES TO SPUR ECONOMY","federal reserve cuts interest rate"
249,1996,12,1208,"New York Sued By Government On Foster Care","NY sued over foster care"
250,1996,24,2400,"GIULIANI'S BUDGET PLAN: THE OVERVIEW; GIULIANI'S BUDGET CUTS SPENDING 5% AND LOWERS TAXES","NY state budget"
251,1996,26,2600,"Taking Care in the Bitter Cold","cold weather"
252,1996,20,2012,"For the G.O.P., New Dynamics ","steve forbes"
253,1996,3,398,"A New AIDS Drug Yielding Optimism As Well as Caution","new drug for AIDS"
254,1996,17,1706,"COMMUNICATIONS RESHAPED: A 'DIGITAL FREE-FOR-ALL'; A Measure's Long Reach","new communications law"
255,1996,17,1706,"COMMUNICATIONS RESHAPED: THE OVERHAUL; CONGRESS VOTES TO RESHAPE COMMUNICATIONS INDUSTRY, ENDING A 4-YEAR STRUGGLE ","new communications law"
256,1996,19,1921,"Russian Coal Miners Strike for Back Pay","strike of russian coal miners"
257,1996,19,1921,"China, Vying With Taiwan, Explores Public Relations ","china relations with US and taiwan"
258,1996,6,699,"3 Boys Used Internet to Plot School Bombing, Police Say ","boys planning a school bombing"
259,1996,3,301,"INSURERS FIGHTING A BIPARTISAN BILL FOR HEALTH CARE","battle over health care"
260,1996,20,2012,"POLITICS: ADVERTISING; In Campaign Ads, Forbes Is Taking On All Comers ","steve forbes advertising"
261,1996,19,1921,"Red Flag Aloft, a Russian City Defiantly Upholds Soviet Ways ","russian city resists the new regime"
262,1996,1,107,"The Flat-Tax Debate","steve forbes tax proposal"
263,1996,1,103,"Unemployment Climbs","increase in unemployment rate"
264,1996,30,3000,"Gene Kelly, Dancer of Vigor and Grace, Dies ","gene kelly dies"
265,1996,26,2600,"BITTER COLD LOCKS MUCH OF THE U.S. IN A FIERCE GRIP","cold weather in the US"
